267,Special-Karte der Vereinicten Staaten von Nord-Amerika.,"Smith, J. Calvin (John Calvin) | Th. Fischer",1850,,,General Note: Relief shown by hachures.,,still image,,"Druck u. Verlag von Th. Fischer,",Cassel :,http://digitalcollections.nypl.org/items/f2666370-c52a-012f-e37d-3c075448cc4b
20035,"LUNCHEON [held by] NATIONAL WHOLESALE DRUGGISTS ASSOCIATION/PROPRIETARY ASSOCIATION OF AMERICA [at] ""EN ROUTE CHICAGO,[IL] TO MILWAUKEE, [WI] ABOARD SS MANITOU"" (SS;)","Buttolph, Frank E., Miss (d. 1924)",1900,English,,General Note: COVER IN BLUE PAPER STOCK WITH SILVER INSET LISTING MEETING INFORMATION; LUNCHEON MENU ON VELLUM PASTED ONTO COVER,,text | still image,Menus,,,http://digitalcollections.nypl.org/items/194dfea0-c539-012f-3d1c-58d385a7bc34
20123,"DINNER [held by] NIPPON YUSEN KAISHA [at] ""EN ROUTE ABOARD S.S. """"KOBE WARU"""""" (SS;)","Buttolph, Frank E., Miss (d. 1924)",1900,English,,General Note: HANDWRITTEN; COLOR ILLUSTRATION OF MAN HOLDING ALOFT A DRUM & A SECOND MAN CARRYING AN OPEN BAG; STEAMSHIP ROUTES ON BACK OF MENU,,text | still image,Menus,,,http://digitalcollections.nypl.org/items/254675d0-c539-012f-3cab-58d385a7bc34
20449,"Letter to St. George Tucker, Matoax, Va.","Emmet, Thomas Addis, 1828-1919 | Tucker, St. George | Randolph, John",1788-07-30,,"Describes the procession and festivities in New York on account of the adoption of the Constitution by ten States; tables were set on the Federal Green for more than 5,000 people to dine; not one drunken man or fight was to be seen; the following Saturday, news arrived of the ratification [by New York]; a party of federalists went to the house of Green-leaf, printer of the Patriotic Register; and broke his windows; they then went to the Governor's, where they hissed, and beat the rogue's march; has been unwell.",Citation/References Note: EM9433-9588,,text,,,New York,http://digitalcollections.nypl.org/items/51be2270-c539-012f-a9a5-58d385a7bc34
20683,DINNER [held by] NIPPON YUSEN KAISHA [at] EN ROUTE ABOARD SS. KOHE MARU (SS;),"Buttolph, Frank E., Miss (d. 1924)",1900,English,,General Note: HANDWRITTEN; COLOR ILLUSTRAION OF CHILDREN CARRYING LANTERNS AND LARGE DRUM;  MAP OF STEAMSHIP ROUTES ON BACK,,text | still image,Menus,,,http://digitalcollections.nypl.org/items/71d1ba40-c539-012f-1624-58d385a7bc34
23202,Letter to Governor [George],"Emmet, Thomas Addis, 1828-1919 | Clinton, George, 1739-1812 | Remsen, Henry",1779-10-29,,"Clinton, Poughkeepsie [N. Y.]. The last intelligence from the South premature; transmits reliable information received from Philadelphia; intelligence from Savannah up to Sept. 29 informed Remsen that the Count [D'Estaing] had taken the Experiment, Captain Sir James Wallace, 50 guns, with dispatches, Gen. Vaughan and 20 other officers bound to Georgia from New York; also a sloop of war with £30,000 to pay the troops; it was said the Fowey and Ariel were taken and all the transports; said that Sir James Wallace was so drunk that he did not destroy the dispatches, orders, and code of signals; failure of an expedition to capture Gov. Livingston; Col. Simcoe killed or taken.",Citation/References Note: EM12068-13172,,text,,,"Morristown, N.J.",http://digitalcollections.nypl.org/items/d65fe660-c53a-012f-cb88-58d385a7bc34
24532,"COMPLIMENTARY DINNER TO HIS BOWLING TEAM ASSOCIATES REPRESENTING THE AMERICAN DRUG TRADE BOWLING ASSOCIATION [held by] GEORGE W. SMITH [at] ""DRUG TRADE CLUB, NEW YORK, NY"" (OTHR (PRIVATE CLUB);)","Buttolph, Frank E., Miss (d. 1924)",1901,,,General Note: APPROPRIATE WINES WITH EACH COURSE,,still image,Menus,,,http://digitalcollections.nypl.org/items/96a7e590-c53b-012f-1a98-58d385a7bc34
24638,DINNER [held by] DRUG-TRADE CLUB [at] ? (?),"Buttolph, Frank E., Miss (d. 1924)",1901,,,,,still image,Menus,,,http://digitalcollections.nypl.org/items/a613e440-c53b-012f-4c98-58d385a7bc34
26209,"View of a boy with a drum and a dog. Dubuque, Iowa.","Root, Samuel (1819-1889)",1867,,,Statement of Responsibility Note: by S. Root.,,still image,Stereoscopic views,"Emporium of Stereoscopic Views, Root's Gallery","Dubuque, Iowa",http://digitalcollections.nypl.org/items/84656610-c53c-012f-b2ad-58d385a7bc34
26477,"[Street view of Salina, including drug store.]",A. S. Barber & Son,,,,,Commercial streets,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/a9a05ba0-c53c-012f-3cd5-58d385a7bc34
28528,"27TH ANNUAL BANQUET [held by] NATIONAL WHOLESALE DRUGGISTS ASSOCIATION [at] ""HOTEL CHAMBERLIN, OLD POINT COMFORT, VA"" (HOTEL;)","Buttolph, Frank E., Miss (d. 1924)",1901,,,General Note: WINES AND CHAMPAGNE; ILLUSTRATION OF MORTAR AND PESTLE AND BATTLE BETWEEN THE MONITOR AND THE MERRIMAC,,still image,Menus,,,http://digitalcollections.nypl.org/items/d6d764f0-c53d-012f-b07b-58d385a7bc34
28702,"ANNUAL BANQUET [held by] NEW YORK STATE MEDICAL ASSOCIATION [at] ""MURRAY HILL HOTEL, NEW YORK, NY"" (HOTEL;)","Buttolph, Frank E., Miss (d. 1924)",1901,,,General Note: ILLEGIBLE NOTATION ALONGSIDE MENU; SPEAKERS 0NE OF WHOM DISCUSSED THE NEED FOR LEGISLATION FOR THE RELIEF OF THOSE AFFLICTED WITH THE DRUG HABIT,,still image,Menus,,,http://digitalcollections.nypl.org/items/ef808c60-c53d-012f-9737-58d385a7bc34
29863,"DINNER AT THIRD ANNUAL STOCKHOLDERS' MEETING [held by] UNITED DRUG COMPANY [at] ""HOTEL SOMERSET, BOSTON, MA"" (HOTEL;)","Buttolph, Frank E., Miss (d. 1924)",1905,,,"General Note: WINES LISTED WITH COURSE; TOP COVER ON BLUE STOCK; OFFICERS AND DIRECTORS LISTED; ""BOSTON, MA"" NOTED BY FEB ON COVER",,still image,Menus,,,http://digitalcollections.nypl.org/items/9edf5360-c53e-012f-fd5a-58d385a7bc34
29892,"DINNER [held by] NATIONAL WHOLESALE DRUGGISTS' ASSOCIATION [at] ""HOTEL ASTOR, NEW YORK"" (HOTEL;)","Buttolph, Frank E., Miss (d. 1924)",1905,,,General Note: WINES WITH EACH COURSE; LOGO; WOMAN IN CLASSICAL DRESS ON PEDESTAL WITH VARIOUS ATEMS AROUND HER; TOASTS THE SUBJECT OF EACH OA QUOTE FROM SHAKESPEARE; (1905-729 IS IN UNUSUALS FILE),,still image,Menus,,,http://digitalcollections.nypl.org/items/a307d360-c53e-012f-401d-58d385a7bc34
29900,"LUNCHEON [held by] NATIONAL WHOLESALE  DRUGGISTS' ASSOCIATION [at] ""CRESCENT ATHLETIC CLUB; BAY RIDGE, NY"" (OTHER (PRIVATE CLUB);)","Buttolph, Frank E., Miss (d. 1924)",1905,,,General Note: CHAMPAGNE; GREEN STOCK; ILLUSTRATION OC CLUB,,still image,Menus,,,http://digitalcollections.nypl.org/items/a44a7990-c53e-012f-8ec4-58d385a7bc34
31259,Druid Hill park. Birds eye view.,Miller & Best,1880,,,,Streets,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/70ff5770-c53f-012f-5014-58d385a7bc34
31262,"Woodbury, from Prospect Hill, Druid Hill Park.",E. & H.T. Anthony (Firm),1870,,,,Streets,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/71514b10-c53f-012f-6472-58d385a7bc34
31659,"Mansion House. Druid Hill Park, Baltimore, Maryland.",,1860,,,,Parks | Mansions,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/ac07df10-c53f-012f-11ba-58d385a7bc34
31660,"Distant view of the Mansion. Druid Hill Park, Baltimore, Md.",,1860,,,,Parks | Driveways | Mansions,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/ac5a42d0-c53f-012f-88ae-58d385a7bc34
31663,The Lake. Druid Hill Park.,,,,,,Parks | Lakes & ponds,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/acc98840-c53f-012f-1621-58d385a7bc34
31665,"Spring Lake, Druid Hill Park.",,,,,,Parks | Lakes & ponds,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/ad3f6150-c53f-012f-0561-58d385a7bc34
31668,"Boat House. Druid Hill Park, Baltimore.",,,,,,Parks | Lakes & ponds | Boathouses,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/adb12ec0-c53f-012f-607f-58d385a7bc34
31671,The Music Stand. Druid Hill Park.,,1887,,,,Parks | Bandstands,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/ae25e9f0-c53f-012f-dda4-58d385a7bc34
31673,Music Stand. Druid Hill Park.,,,,,,Parks | Bandstands,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/ae81a730-c53f-012f-2b94-58d385a7bc34
31676,"Druid Hill Park, Baltimore.",,,,,,Parks | Bridges | Benches,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/af06aeb0-c53f-012f-73d3-58d385a7bc34
31682,"Drinking Fountain, Silver Spring, Druid Hill Park.",,,,,,Parks | Drinking fountains,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/afc9eaa0-c53f-012f-fb27-58d385a7bc34
31686,The Lake. Druid Hill Park.,,,,,,Parks | Lakes & ponds,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b0384c10-c53f-012f-f3fc-58d385a7bc34
31688,"Druid Hill Park, Baltimore.",,,,,,Parks | Bridges,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b0a59e20-c53f-012f-a5fa-58d385a7bc34
31692,"Druid Hill Park, Baltimore, Md.",,,,,,Parks | Gazebos,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b1025060-c53f-012f-4b1a-58d385a7bc34
31694,Entrance Gate to Druid Hill Park.,E. & H.T. Anthony (Firm),1880,,,,Parks | Gates,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b1686a70-c53f-012f-afbc-58d385a7bc34
31697,"Mansion House, south view. Druid Hill Park.",E. & H.T. Anthony (Firm),1875,,,,Parks | Fountains | Mansions,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b1c27410-c53f-012f-d8e8-58d385a7bc34
31700,"Mansion House, south view. Druid Hill Park.",E. & H.T. Anthony (Firm),1880,,,,Parks | Fountains | Mansions,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b20ba3b0-c53f-012f-57cd-58d385a7bc34
31703,Mansion House and Fountain. Druid Hill Park.,E. & H.T. Anthony (Firm),1880,,,,Parks | Lakes & ponds | Mansions,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b26d7be0-c53f-012f-0d04-58d385a7bc34
31705,Mansion House and Fountain. Druid Hill Park.,E. & H.T. Anthony (Firm),1880,,,,Parks | Fountains | Mansions,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b2b931e0-c53f-012f-91ff-58d385a7bc34
31707,"View looking towards Mansion House, from Dummy Station. Druid Hill Park.",E. & H.T. Anthony (Firm),1880,,,,Parks,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b318e130-c53f-012f-c7c3-58d385a7bc34
31711,Druid Hill Park.,E. & H.T. Anthony (Firm),1880,,,,Parks | Boats,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b37a18f0-c53f-012f-e5fd-58d385a7bc34
31712,"Mansion House. Druid Hill Park. Baltimore, Md.","Bell, W. H.",1865,,,,Parks | Mansions,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b3c23ef0-c53f-012f-541a-58d385a7bc34
31716,[Long Drive in Druid Hill Park with urn-shaped planters..],"Chase, W. M. (William M.) (ca. 1818-1901)",1875,,,,Parks | Roads | Urns,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b4238990-c53f-012f-34d2-58d385a7bc34
31718,[View of rustic benches. Druid Hill Park.],"Chase, W. M. (William M.) (ca. 1818-1901)",,,,,Parks | Benches | Street railroads,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b4767210-c53f-012f-62e8-58d385a7bc34
31722,Skating Lake. Druid Hill Park.,"Chase, W. M. (William M.) (ca. 1818-1901)","ca, 1875",,,,Parks | Rowboats | Boathouses,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b4e23e50-c53f-012f-4990-58d385a7bc34
31724,Skating Lake. Druid Hill Park.,"Chase, W. M. (William M.) (ca. 1818-1901)",1875,,,,Parks | Rowboats | Boathouses,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b540cd90-c53f-012f-8767-58d385a7bc34
31727,Skating Lake. Druid Hill Park.,"Chase, W. M. (William M.) (ca. 1818-1901)",1875,,,,Parks | Rowboats | Boathouses,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b58d9b50-c53f-012f-a11e-58d385a7bc34
31729,Skating Lake. Druid Hill Park.,"Chase, W. M. (William M.) (ca. 1818-1901)",1875,,,,Parks | Rowboats | Boathouses,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b5ee7340-c53f-012f-63d8-58d385a7bc34
31731,Hill and valley in a wealth of foliage. Druid Hill Park.,"Chase, W. M. (William M.) (ca. 1818-1901)",1875,,,,Parks | Boats | Boathouses,still image,Stereoscopic views | Albumen prints -- Hand-colored,,,http://digitalcollections.nypl.org/items/b642e0d0-c53f-012f-5a59-58d385a7bc34
31737,Entrance Gateway to Druid Hill Park.,"Chase, W. M. (William M.) (ca. 1818-1901)",1875,,,,Parks | Gates,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b7131970-c53f-012f-102b-58d385a7bc34
31739,"Water Fountain, Druid Hill Park, Baltimore.","Chase, W. M. (William M.) (ca. 1818-1901)",1885,,,,Parks | Fountains | Mansions,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b76cf860-c53f-012f-128e-58d385a7bc34
31742,"Druid Hill Park, Baltimore.","Chase, W. M. (William M.) (ca. 1818-1901)",1885,,,,Parks | Drinking fountains,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b7d86dd0-c53f-012f-63d6-58d385a7bc34
31745,"Druid Hill Park, Baltimore.","Chase, W. M. (William M.) (ca. 1818-1901)",1870,,,,Parks,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b8256090-c53f-012f-9ee4-58d385a7bc34
31748,"Druid Hill Park, Baltimore.","Chase, W. M. (William M.) (ca. 1818-1901)",1870,,,,Parks,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b88ca0b0-c53f-012f-0c74-58d385a7bc34
31750,"Edmond's Well. Druid Hill Park, Baltimore.","Chase, W. M. (William M.) (ca. 1818-1901)",1875,,,,Parks | Fountains,still image,Stereoscopic views | Albumen prints -- Hand-colored,,,http://digitalcollections.nypl.org/items/b8e664d0-c53f-012f-aec4-58d385a7bc34
31753,"Edmond's Well. Druid Hill Park, Baltimore.","Chase, W. M. (William M.) (ca. 1818-1901)",1875,,,,Parks | Drinking fountains,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b957c740-c53f-012f-b0dc-58d385a7bc34
31756,"The Picturesque of Druid Hill Park, Baltimore.","Chase, W. M. (William M.) (ca. 1818-1901)",1880,,,,Parks | Lakes & ponds | Fishing,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b9b0b0b0-c53f-012f-0734-58d385a7bc34
31761,"Druid Hill Park, Baltimore.","Chase, W. M. (William M.) (ca. 1818-1901)",,,,,Parks,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/ba8a4450-c53f-012f-4093-58d385a7bc34
31763,[View of the Fountain. Druid Hill Park.],,,,,,Parks | Drinking fountains,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/bafca110-c53f-012f-4d36-58d385a7bc34
31766,Statue of Harvest. Druid Hill Park.,,,,,,Parks | Sculpture,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/bb7bf370-c53f-012f-4703-58d385a7bc34
31768,Grand Promenade. Druid Hill Park.,,1875,,,,Parks | Walkways | Urns,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/bbf4f3f0-c53f-012f-ca71-58d385a7bc34
31771,"Garrett Bridge, Druid Hill Park.",,1875,,,,Parks | Bridges,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/bc420c00-c53f-012f-4bca-58d385a7bc34
31774,Skating Lake and Cottage. Druid Hill Park.,"Thorne, G. W. (George W.)",1870,,,,Parks | Lakes & ponds | Cottages,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/bca78520-c53f-012f-15c3-58d385a7bc34
31776,[Woman at the Fountain. Druid Hill Park.],"Walzl, Richard",1865,,,,Parks | Fountains,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/bcf18fe0-c53f-012f-6a36-58d385a7bc34
31778,[Statue of boy and the swan. Druid Hill Park.],"Walzl, Richard","ca, 1865",,,,Parks | Sculpture,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/bd54b960-c53f-012f-cb4e-58d385a7bc34
31781,[Statue of boy and the swan. Druid Hill Park.],"Walzl, Richard",1865,,,,Parks | Sculpture,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/bdb0cbd0-c53f-012f-c5f1-58d385a7bc34
31784,[Mansion House. Druid Hill Park.],"Walzl, Richard",,,,,Parks | Mansions,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/bdfafed0-c53f-012f-148a-58d385a7bc34
31787,[Water Fountain. Druid Hill Park.],"Walzl, Richard",1865,,,,Parks | Drinking fountains,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/be679910-c53f-012f-849b-58d385a7bc34
31823,"Music Pavillion, Druid Hill Park.",,,,,,Parks | Bandstands,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/c6df60d0-c53f-012f-ec8d-58d385a7bc34
31825,"Boat landing, Druid Hill Park, Baltimore, Md.",,,,,,Parks | Boats | Lakes & ponds,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/c74c8330-c53f-012f-e342-58d385a7bc34
31828,"Boat landing, Druid Hill Park, Baltimore, Md.",J. W. & J. S. Moulton,1873,,,,Parks | Rowboats | Boathouses,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/c7cff170-c53f-012f-bf10-58d385a7bc34
31830,"Boat landing, Druid Hill Park, Baltimore, Md.",J. W. & J. S. Moulton,1873,,,,Parks | Rowboats | Boathouses,still image,Stereoscopic views | Albumen prints -- Hand-colored,,,http://digitalcollections.nypl.org/items/c830bda0-c53f-012f-673a-58d385a7bc34
31833,Lake Promenade.. Druid Hill Park.,J. W. & J. S. Moulton,1873,,,,Parks | Lakes & ponds,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/c879a3f0-c53f-012f-7093-58d385a7bc34
32448,"DINNER TENDERED TO THE STOCKHOLDERS AND AGENTS [held by] UNITED DRUG COMPANY AND NATIONAL CIGAR STANDS CO. [at] ""HOTEL SOMERSET, BOSTON, MA"" (HOTEL;)","Buttolph, Frank E., Miss (d. 1924)",1906,,,General Note: WINES LISTED; COVER AND INSIDE ILLUSTRATED; PRINTED ON BLUE STOCK; BACK ILLUSTRATED WITH THE REXALL BUILDING,,still image,Menus,,,http://digitalcollections.nypl.org/items/23f25350-c540-012f-5c9d-58d385a7bc34
32516,"32ND ANNUAL BANQUET [held by] NATIONAL WHOLESALE DRUGGISTS' ASSOCIATION [at] ""NEW WILLARD HOTEL, WASHINGTON, D.C."" (HOTEL;)","Buttolph, Frank E., Miss (d. 1924)",1906,,,"General Note: ""INCLUDES WINES SERVED WITH INDIVIDUAL COURSES; TOASTS; COMMITTEE ON ENTERTAINMENT AND ARRANGMENTS INCLUDED; ILLUSTRATION ON COVER OF LITTLE GIRL RINGING A BELL, CAPITOL IN BACKGROUND;""",,still image,Menus,,,http://digitalcollections.nypl.org/items/2e8c6cd0-c540-012f-49aa-58d385a7bc34
32855,"DINNER TO NEWSPAPER MEN WHO PARTICIPATED IN THE RECENT ""RIOT"" [held by] TIMOTHY L. WOODRUFF [at] ""REPUBLICAN CLUB, NEW YORK"" (OTHER (PRIVATE CLUB);)","Buttolph, Frank E., Miss (d. 1924)",1906,,,"General Note: ""COCKTAILS, WHISKEY, CHAMPAGNE LISTED; BROWN STOCK; ILLUSTTRATION OF ELEVEN NEW YORK NEWSPAPERS; COMMENT ABOUT PIPES; NOTE BY FEB THAT THE PIPE BELONGS TO THIS MENU, HOWEVER THERE DOES NOT PPEAR TO BE A PIPE;""",,still image,Menus,,,http://digitalcollections.nypl.org/items/60360830-c540-012f-7d31-58d385a7bc34
33574,Letter to Joseph Galloway,"Emmet, Thomas Addis, 1828-1919 | Galloway, Joseph | De Normandie, John Anthony",1779-03-29,,"Writes by Mr. Fisher, who sails for London by this fleet; Mrs. Galloway has recovered from a dangerous illness, and is more cheerful than usual; she experienced the full resentment of the leaders of Pennsylvania, and has nothing more to dread; he has purchased a share in a druggist's store and intends to support himself until the storm has subsided and he can return to his estate and family; describes the unhappiness and poverty of America; hopes the British will make a vigorous campaign; he recommends their taking possession of the peninsula between the Chesapeek and the Delaware, to afford an asylum for loyalists and cut off the trade of Philadelphia; necessity of supporting the southern army will doubtless be urged by Col. Campbell, whose humane and able qualities have endeared him to the people of Georgia; illness of their friend Barton from his confined life within the lines.",,,text,,,New York,http://digitalcollections.nypl.org/items/c5c1f640-c540-012f-e6c2-58d385a7bc34
34859,"BANQUET TO REPRESENTATIVES OF THE PRESS OF NEW YORK CITY [held by] FRAUNCES' TAVERN [at] ""FRAUNCES'TAVERN, NEW YORK"" (REST;)","Buttolph, Frank E., Miss (d. 1924)",1907,,,"General Note: ""MARTINIS, AND WINS WITH EACH COURSE; MENU IN FRENCH; ILLUSTRATIONS OF WASHINGTON, FLAGS, AND FIFE AN DRUM CORPS;""",,still image,Menus,,,http://digitalcollections.nypl.org/items/8f78e9e0-c541-012f-2039-58d385a7bc34
35005,"BANQUET [held by] NORTHERN HOTEL ASSOCIATION [at] ""THE NEW WOODRUFF, WATERTOWN, NY"" (HOTEL;)","Buttolph, Frank E., Miss (d. 1924)",1907,,,"General Note: ILLUSTRATION OF ""FLORADORA GIRL""",,still image,Menus,,,http://digitalcollections.nypl.org/items/a789d4d0-c541-012f-f8d4-58d385a7bc34
35616,"DINNER [held by] ROYAL ORDER OF SCOTLAND [at] ""NEW WILLARD HOTEL, THE, WASHINGTON, D.C."" (HOTEL;)","Buttolph, Frank E., Miss (d. 1924)",1907,,,General Note: INCLUDES WINES SERVED WITH INDIVIDUAL COURSES; OFFICE BEARERS LISTED; ILLUSTRATION ON COVER OF SEAL AND OFFICER IN KILT PLAYING DRUMS; RIBBON ATTACHMENT,,still image,Menus,,,http://digitalcollections.nypl.org/items/ff1a26f0-c541-012f-a2fd-58d385a7bc34
38060,"5th Maryland Regiment, parade ground, Common.","Lewis, T. (Thomas R.) (d. 1901)",1875,,,Statement of Responsibility Note: by Thomas Lewis.,"Bunker Hill, Battle of, Boston, Mass., 1775 | Centennial celebrations | Drummers (Musicians) | Military music",still image,Stereoscopic views,T. Lewis,"Cambridgeport, Mass.",http://digitalcollections.nypl.org/items/b7012d20-c543-012f-1e28-58d385a7bc34
38094,"The coliseum, Boston.",,1869,,,,Peace movements | Drums | Interiors | Arenas,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/beffc7d0-c543-012f-dea5-58d385a7bc34
38096,"Great Peace Jubilee, Boston, 1869",,1869,,,General Note: Includes view of boy getting haircut on verso of a view of the Coliseum interior.,Peace movements | Drums | Interiors | Arenas,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/bf6129c0-c543-012f-0349-58d385a7bc34
38110,[View of a large bass drum.],,1869,,,,Peace movements | Drums,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/c2410cb0-c543-012f-1cd8-58d385a7bc34
39300,Drug and Chemical Club,"Buttolph, Frank E., Miss (d. 1924)",1913,English,,,,text | still image,Menus,,,http://digitalcollections.nypl.org/items/7b400420-c544-012f-a006-58d385a7bc34
39667,"[Men in uniform, some with drums.]","Reed, S. C.",,,,,Military parades & ceremonies,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b10ab530-c544-012f-1609-58d385a7bc34
39670,"[Men in uniform, some with drums.]","Reed, S. C.",,,,,Military parades & ceremonies,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/b187c500-c544-012f-79ca-58d385a7bc34
39789,Drug and Chemical Club,"Buttolph, Frank E., Miss (d. 1924)",1914,,,,,still image,Menus,,,http://digitalcollections.nypl.org/items/c2c48970-c544-012f-2593-58d385a7bc34
39916,"Cut rags after removing from washing drums, paper mills, Holyoke, Mass.",Keystone View Company,,,,,,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/d6750cd0-c544-012f-67bf-58d385a7bc34
40296,"[Group of boys in military costume, holding rifles, flags and a drum.]","Leck, George H.",,,,,,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/0c6b6560-c545-012f-1329-58d385a7bc34
40577,[Studio view of a group of women holding brooms(?) and 1 woman with a drum.],,,,,,,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/35cd48f0-c545-012f-b4af-58d385a7bc34
43821,[View showing students in front of the Drury Acacdemy.],Hurd & Smith's Excelsior Gallery,,,,,,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/0445e450-c547-012f-b1ba-58d385a7bc34
48068,[View of a drug store.],"Carli, C. H., Jr.",,,,,,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/5b8134e0-c549-012f-b8b9-58d385a7bc34
57577,"[...] Infanterie [Two soldiers in white uniforms with read trim. First soldier is playing a drum, the second is blowing a bugle.]","Vinkhuijzen, Hendrik Jacobus | Cenni, Quinto (1845-1917)",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums | Bugles | Musicians | Mexican,still image,Pen works,,,http://digitalcollections.nypl.org/items/a30d0e10-c54e-012f-2c5b-58d385a7bc34
57583,Mounted man with two drums in a khaki uniform with white trim.,"Vinkhuijzen, Hendrik Jacobus | Cenni, Quinto (1845-1917)",,English,,General Note: There is neither a title nor a date for this image.,Military uniforms | History | Drums | Horses | Military personnel | Mexican,still image,Pen works,,,http://digitalcollections.nypl.org/items/a3f5ce90-c54e-012f-99a8-58d385a7bc34
57724,"Tamburino di veterani, gr. tenuta.","Vinkhuijzen, Hendrik Jacobus | Cenni, Quinto (1845-1917)",,English,,,Military uniforms | History | Drums,still image,Pen works,,,http://digitalcollections.nypl.org/items/b994ba60-c54e-012f-9912-58d385a7bc34
57942,"Le tamborin devant le porteur de lenseigne [Vereenigde Provincien der Nederlanden : tamboer en pijper v Rugelweger [?], 1580]","Vinkhuijzen, Hendrik Jacobus",,English,,General Note: [title in brackets is the handwritten caption],Military uniforms | History | Drums | Pipes (Musical instruments),still image,Lithographs -- Colored,,,http://digitalcollections.nypl.org/items/d85da4b0-c54e-012f-bb4b-58d385a7bc34
57945,"Le tamborijn de la compagnie [Vereenigde Provincien der Nederlanden : trommelslager v compacompagnie Schutters, 1580]","Vinkhuijzen, Hendrik Jacobus",,English,,General Note: [title in brackets is the handwritten caption],Military uniforms | History | Drums,still image,Lithographs -- Colored,,,http://digitalcollections.nypl.org/items/d8cdc410-c54e-012f-d29b-58d385a7bc34
58035,"Vereenigde Provincien der Nederlanden: tamboer en pijper, 1585","Vinkhuijzen, Hendrik Jacobus",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums | Pipes (Musical instruments),still image,Lithographs -- Color,,,http://digitalcollections.nypl.org/items/e5b19a50-c54e-012f-ff3f-58d385a7bc34
